,Category,URLs
0,Arts & Collectibles,b-art-collectibles
1,Audio,b-audio
2,Baby Items,b-baby-items
3,Bikes,b-bikes
4,Books,b-books
5,Business & Industrial,b-business-industrial
6,Cameras & Camcorders,b-camera-camcorder-lens
7,"CDs, DVDs & Blu-ray",b-cd-dvd-blu-ray
8,Clothing,b-clothing
9,Computers,b-computer
10,Computer Accessories,b-computer-accessories
11,Electronics,b-value
12,Free Stuff,b-free-stuff
13,Furniture,b-furniture
14,Garage Sales,b-garage-sale-yard-sale
15,Health & Special Needs,b-health-special-needs
16,Hobbies & Crafts,b-hobbies-craft
17,Home Appliances,b-home-appliance
18,Home - Indoor,b-home-indoor
19,Home - Outdoor & Garden,b-home-outdoor
20,Home Renovation Materials,b-home-renovation
21,Jewellery & Watches,b-jewelry-watch
22,Musical Instruments,b-musical-instrument
23,Phones,b-phone-tablet
24,Sporting Goods & Exercise,b-sporting-goods-exercise
25,Tickets,b-tickets
26,Tools,b-tool
27,Toys & Games,b-toys-games
28,TVs & Video,b-tvs-video
29,Video Games & Consoles,b-video-games-consoles
30,Other,b-community-other
31,Cars & Trucks,cars
32,Classic Cars,b-classic-cars
33,"Vehicle Parts, Tires, & Accessories",b-auto-parts-tires
34,Automotive Services,b-automotive-services
35,Motorcycles,b-motorcycles
36,ATVs & Snowmobiles,b-atv-snowmobile
37,Boats & Watercraft,b-boat-watercraft
38,"RVs, Campers & Trailers",b-rv-camper-trailer
39,Heavy Equipment,b-heavy-equipment
40,For Rent,b-for-rent
41,For Sale,b-for-sale
42,Real Estate Services,b-real-estate-service
43,Accounting & Management,b-accounting-management-jobs
44,Child Care,b-childcare-jobs
45,"Bar, Food & Hospitality",b-bar-food-hospitality-jobs
46,Cleaning & Housekeeping,b-cleaning-housekeeper-jobs
47,Construction & Trades,b-construction-trades-jobs
48,Customer Service,b-customer-service-jobs
49,Cannabis Sector,b-cannabis-sector
50,Drivers & Security,b-driver-security-jobs
51,General Labour,b-general-labour-jobs
52,Graphic & Web Design,b-graphic-web-design-jobs
53,Healthcare,b-healthcare-jobs
54,Hair Stylist & Salon,b-hair-stylist-salon-jobs
55,Office Manager & Receptionist,b-office-manager-receptionist-jobs
56,Part Time & Students,b-part-time-student-jobs
57,Programmers & Computer,b-programmer-computer-jobs
58,Sales & Retail Sales,b-sales-retail-jobs
59,"TV, Media, & Fashion",b-tv-media-fashion-jobs
60,Childcare & Nanny,b-childcare-nanny-service
61,Cleaners & Cleaning,b-cleaners-cleaning-service
62,Entertainment,b-entertainment
63,Financial & Legal,b-financial-legal
64,Fitness & Personal Trainer,b-fitness-personal-trainer
65,Food & Catering,b-food-catering
66,Health & Beauty,b-health-beauty
67,Moving & Storage,b-moving-storage
68,Music Lessons,b-music-lessons
69,Photography & Video,b-photography-video
70,Skilled Trades,b-skilled-trades
71,Tutors & Languages,b-tutor-language-lessons
72,Wedding,b-wedding-service
73,Travel & Vacations,b-travel-vacations
74,Animal & Pet Services,b-pet-services
75,Birds for Rehoming,b-birds
76,Cats & Kittens for Rehoming,b-cats-kittens
77,Dogs & Puppies for Rehoming,b-dogs-puppies
78,Equestrian & Livestock Accessories,b-equestrian-livestock-accessories
79,Fish for Rehoming,b-fish
80,Horses & Ponies for Rehoming,b-horses-ponies
81,Livestock,b-livestock
82,Lost & Found,b-lost-and-found
83,Accessories,b-pet-accessories
84,Reptiles & Amphibians for Rehoming,b-reptiles-amphibians
85,Small Animals for Rehoming,b-small-animals
86,Other Pets for Rehoming,b-other-pets
87,Registered Shelter / Rescue,b-registered-shelter-rescue
88,Activities & Groups,b-activities-groups
89,Artists & Musicians,b-artists-musicians
90,Classes & Lessons,b-classes-lessons
91,Events,b-events
92,Friendship & Networking,b-friendship-networking
93,Long Lost Relationships,b-long-lost-relationships
94,Missed Connections,b-missed-connections
95,Rideshare,b-rideshare-carpool
96,Sports Teams,b-sports-teams
97,Volunteers,b-volunteers
98,Canada,b-vacation-rentals-canada
99,USA,b-vacation-rentals-usa
100,Caribbean,b-vacation-rentals-caribbean
101,Mexico,b-vacation-rentals-mexico
102,Other Countries,b-vacation-rentals-other-countries
